
Parent structure (123 P4/mmm)
a=3.92640, b=3.92640, c=15.18110, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
K1   1d    0.50000  0.50000  0.50000  1.00000
Pb1  2h    0.50000  0.50000  0.14674  1.00000
Nb1  1a    0.00000  0.00000  0.00000  1.00000
Ta1  2g    0.00000  0.00000  0.28715  1.00000
O1   2f    0.00000  0.50000  0.00000  1.00000
O3   2g    0.00000  0.00000  0.13024  1.00000
O5   4i    0.00000  0.50000  0.26237  1.00000
O9   2g    0.00000  0.00000  0.40374  1.00000
 
Subgroup details
1 P1, basis={(2,0,0),(0,2,0),(0,0,2)}, origin=(0,0,0), s=8, i=128
 
Undistorted superstructure 
a=7.85280, b=7.85280, c=30.36220, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ     displ 
K1   1a    0.25000  0.25000  0.25000  1.00000  0.00000  
K5   1a    0.25000  0.25000  0.75000  1.00000  0.00000  
K3   1a    0.25000  0.75000  0.25000  1.00000  0.00000  
K7   1a    0.25000  0.75000  0.75000  1.00000  0.00000  
K2   1a    0.75000  0.25000  0.25000  1.00000  0.00000  
K6   1a    0.75000  0.25000  0.75000  1.00000  0.00000  
K4   1a    0.75000  0.75000  0.25000  1.00000  0.00000  
K8   1a    0.75000  0.75000  0.75000  1.00000  0.00000  
Pb1  1a    0.25000  0.25000  0.07337  1.00000  0.00000  
Pb5  1a    0.25000  0.25000  0.57337  1.00000  0.00000  
Pb3  1a    0.25000  0.75000  0.07337  1.00000  0.00000  
Pb7  1a    0.25000  0.75000  0.57337  1.00000  0.00000  
Pb2  1a    0.75000  0.25000  0.07337  1.00000  0.00000  
Pb6  1a    0.75000  0.25000  0.57337  1.00000  0.00000  
Pb4  1a    0.75000  0.75000  0.07337  1.00000  0.00000  
Pb8  1a    0.75000  0.75000  0.57337  1.00000  0.00000  
Pb15 1a    0.25000  0.75000  0.92663  1.00000  0.00000  
Pb11 1a    0.25000  0.75000  0.42663  1.00000  0.00000  
Pb13 1a    0.25000  0.25000  0.92663  1.00000  0.00000  
Pb9  1a    0.25000  0.25000  0.42663  1.00000  0.00000  
Pb16 1a    0.75000  0.75000  0.92663  1.00000  0.00000  
Pb12 1a    0.75000  0.75000  0.42663  1.00000  0.00000  
Pb14 1a    0.75000  0.25000  0.92663  1.00000  0.00000  
